"filename", "language", "TypeScript", "JSON with Comments", "JavaScript", "PostCSS", "CSV", "Markdown", "JSON", "HTML", "Batch", "comment", "blank", "total"
"c:\programming\PixelNoir\mvp\ExcaliburStarterWLintingNoPeasy.bat", "Batch", 0, 0, 0, 0, 0, 0, 0, 0, 340, 34, 48, 422
"c:\programming\PixelNoir\mvp\GDD\GDD v2.md", "Markdown", 0, 0, 0, 0, 0, 108, 0, 0, 0, 0, 64, 172
"c:\programming\PixelNoir\mvp\GDD\GDD.md", "Markdown", 0, 0, 0, 0, 0, 410, 0, 0, 0, 0, 301, 711
"c:\programming\PixelNoir\mvp\GDD\import.csv", "CSV", 0, 0, 0, 0, 15, 0, 0, 0, 0, 0, 0, 15
"c:\programming\PixelNoir\mvp\eslint.config.js", "JavaScript", 0, 0, 22, 0, 0, 0, 0, 0, 0, 2, 2, 26
"c:\programming\PixelNoir\mvp\index.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 4, 24
"c:\programming\PixelNoir\mvp\package-lock.json", "JSON", 0, 0, 0, 0, 0, 0, 1301, 0, 0, 0, 1, 1302
"c:\programming\PixelNoir\mvp\package.json", "JSON", 0, 0, 0, 0, 0, 0, 25, 0, 0, 0, 1, 26
"c:\programming\PixelNoir\mvp\src\Actions\FollowPath.ts", "TypeScript", 114, 0, 0, 0, 0, 0, 0, 0, 0, 3, 29, 146
"c:\programming\PixelNoir\mvp\src\Actions\MoveActor.ts", "TypeScript", 97, 0, 0, 0, 0, 0, 0, 0, 0, 9, 21, 127
"c:\programming\PixelNoir\mvp\src\Actions\SwitchScene.ts", "TypeScript", 45, 0, 0, 0, 0, 0, 0, 0, 0, 3, 11, 59
"c:\programming\PixelNoir\mvp\src\Actions\Wait.ts", "TypeScript", 48, 0, 0, 0, 0, 0, 0, 0, 0, 0, 9, 57
"c:\programming\PixelNoir\mvp\src\Actions\actionRegistry.ts", "TypeScript", 80, 0, 0, 0, 0, 0, 0, 0, 0, 1, 12, 93
"c:\programming\PixelNoir\mvp\src\Actors\detective.ts", "TypeScript", 109, 0, 0, 0, 0, 0, 0, 0, 0, 7, 20, 136
"c:\programming\PixelNoir\mvp\src\Actors\staticMap.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 0, 10, 84
"c:\programming\PixelNoir\mvp\src\Animations\Chef.ts", "TypeScript", 101, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 126
"c:\programming\PixelNoir\mvp\src\Animations\Detective.ts", "TypeScript", 103, 0, 0, 0, 0, 0, 0, 0, 0, 3, 22, 128
"c:\programming\PixelNoir\mvp\src\Components\animation.ts", "TypeScript", 65, 0, 0, 0, 0, 0, 0, 0, 0, 4, 19, 88
"c:\programming\PixelNoir\mvp\src\Content\NPCs\chef.ts", "TypeScript", 22, 0, 0, 0, 0, 0, 0, 0, 0, 46, 3, 71
"c:\programming\PixelNoir\mvp\src\Graphs\PIOffice.ts", "TypeScript", 145, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 156
"c:\programming\PixelNoir\mvp\src\Graphs\bar.ts", "TypeScript", 116, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 127
"c:\programming\PixelNoir\mvp\src\Graphs\overworld.ts", "TypeScript", 828, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 839
"c:\programming\PixelNoir\mvp\src\Graphs\warehouse.ts", "TypeScript", 98, 0, 0, 0, 0, 0, 0, 0, 0, 5, 6, 109
"c:\programming\PixelNoir\mvp\src\Lib\ClockManager.ts", "TypeScript", 29, 0, 0, 0, 0, 0, 0, 0, 0, 3, 7, 39
"c:\programming\PixelNoir\mvp\src\Lib\GlobalEvents.ts", "TypeScript", 7, 0, 0, 0, 0, 0, 0, 0, 0, 1, 3, 11
"c:\programming\PixelNoir\mvp\src\Lib\InputMapper.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 3, 6, 36
"c:\programming\PixelNoir\mvp\src\Lib\Lighting\FlickerSystem.ts", "TypeScript", 53, 0, 0, 0, 0, 0, 0, 0, 0, 4, 13, 70
"c:\programming\PixelNoir\mvp\src\Lib\Lighting\LightingComponents.ts", "TypeScript", 84, 0, 0, 0, 0, 0, 0, 0, 0, 32, 16, 132
"c:\programming\PixelNoir\mvp\src\Lib\Lighting\LightingSystem.ts", "TypeScript", 418, 0, 0, 0, 0, 0, 0, 0, 0, 14, 89, 521
"c:\programming\PixelNoir\mvp\src\Lib\Lighting\index.ts", "TypeScript", 6, 0, 0, 0, 0, 0, 0, 0, 0, 4, 1, 11
"c:\programming\PixelNoir\mvp\src\Lib\Lighting\lighting-system-spect.ts", "TypeScript", 69, 0, 0, 0, 0, 0, 0, 0, 0, 6, 21, 96
"c:\programming\PixelNoir\mvp\src\Lib\NPCManager.ts", "TypeScript", 245, 0, 0, 0, 0, 0, 0, 0, 0, 48, 52, 345
"c:\programming\PixelNoir\mvp\src\Lib\WorldClock.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 18, 16, 88
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\CutScenes.ts", "TypeScript", 185, 0, 0, 0, 0, 0, 0, 0, 0, 42, 52, 279
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\AnimateAction.ts", "TypeScript", 31, 0, 0, 0, 0, 0, 0, 0, 0, 9, 8, 48
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\CameraAction.ts", "TypeScript", 54, 0, 0, 0, 0, 0, 0, 0, 0, 8, 9, 71
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\DialogAction.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 7, 9, 46
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\FlagAction.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 6, 7, 31
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\MoveAction.ts", "TypeScript", 30, 0, 0, 0, 0, 0, 0, 0, 0, 11, 8, 49
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\QuestCompleteAction.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 26
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\QuestStartAction.ts", "TypeScript", 18, 0, 0, 0, 0, 0, 0, 0, 0, 11, 7, 36
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\SpawnAction.ts", "TypeScript", 23, 0, 0, 0, 0, 0, 0, 0, 0, 6, 8, 37
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\WaitAction.ts", "TypeScript", 15, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 22
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\plan.md", "Markdown", 0, 0, 0, 0, 0, 297, 0, 0, 0, 0, 144, 441
"c:\programming\PixelNoir\mvp\src\Lib\utils.ts", "TypeScript", 43, 0, 0, 0, 0, 0, 0, 0, 0, 0, 7, 50
"c:\programming\PixelNoir\mvp\src\Lib\worldState.ts", "TypeScript", 24, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 35
"c:\programming\PixelNoir\mvp\src\Scenes\Bar.ts", "TypeScript", 79, 0, 0, 0, 0, 0, 0, 0, 0, 1, 8, 88
"c:\programming\PixelNoir\mvp\src\Scenes\Overworld.ts", "TypeScript", 123, 0, 0, 0, 0, 0, 0, 0, 0, 1, 14, 138
"c:\programming\PixelNoir\mvp\src\Scenes\PIOffice.ts", "TypeScript", 77, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 85
"c:\programming\PixelNoir\mvp\src\Scenes\Warehouse.ts", "TypeScript", 74, 0, 0, 0, 0, 0, 0, 0, 0, 1, 7, 82
"c:\programming\PixelNoir\mvp\src\main.ts", "TypeScript", 67, 0, 0, 0, 0, 0, 0, 0, 0, 2, 9, 78
"c:\programming\PixelNoir\mvp\src\resources.ts", "TypeScript", 27, 0, 0, 0, 0, 0, 0, 0, 0, 1, 4, 32
"c:\programming\PixelNoir\mvp\src\style.css", "PostCSS", 0, 0, 0, 49, 0, 0, 0, 0, 0, 4, 4, 57
"c:\programming\PixelNoir\mvp\src\types.d.ts", "TypeScript", 36, 0, 0, 0, 0, 0, 0, 0, 0, 2, 10, 48
"c:\programming\PixelNoir\mvp\src\types.ts", "TypeScript", 35, 0, 0, 0, 0, 0, 0, 0, 0, 5, 7, 47
"c:\programming\PixelNoir\mvp\tsconfig.json", "JSON with Comments", 0, 18, 0, 0, 0, 0, 0, 0, 0, 0, 1, 19
"c:\programming\PixelNoir\mvp\vite.config.js", "JavaScript", 0, 0, 8, 0, 0, 0, 0, 0, 0, 0, 2, 10
"Total", "-", 4044, 18, 30, 49, 15, 815, 1326, 20, 340, 389, 1202, 8248
