"filename", "language", "PostCSS", "TypeScript", "Markdown", "comment", "blank", "total"
"c:\programming\PixelNoir\mvp\src\Actions\FollowPath.ts", "TypeScript", 0, 114, 0, 3, 29, 146
"c:\programming\PixelNoir\mvp\src\Actions\MoveActor.ts", "TypeScript", 0, 97, 0, 9, 21, 127
"c:\programming\PixelNoir\mvp\src\Actions\SwitchScene.ts", "TypeScript", 0, 45, 0, 3, 11, 59
"c:\programming\PixelNoir\mvp\src\Actions\Wait.ts", "TypeScript", 0, 48, 0, 0, 9, 57
"c:\programming\PixelNoir\mvp\src\Actions\actionRegistry.ts", "TypeScript", 0, 80, 0, 1, 12, 93
"c:\programming\PixelNoir\mvp\src\Actors\detective.ts", "TypeScript", 0, 109, 0, 7, 20, 136
"c:\programming\PixelNoir\mvp\src\Actors\staticMap.ts", "TypeScript", 0, 74, 0, 0, 10, 84
"c:\programming\PixelNoir\mvp\src\Animations\Chef.ts", "TypeScript", 0, 101, 0, 3, 22, 126
"c:\programming\PixelNoir\mvp\src\Animations\Detective.ts", "TypeScript", 0, 103, 0, 3, 22, 128
"c:\programming\PixelNoir\mvp\src\Components\animation.ts", "TypeScript", 0, 65, 0, 4, 19, 88
"c:\programming\PixelNoir\mvp\src\Content\NPCs\chef.ts", "TypeScript", 0, 22, 0, 46, 3, 71
"c:\programming\PixelNoir\mvp\src\Graphs\PIOffice.ts", "TypeScript", 0, 145, 0, 5, 6, 156
"c:\programming\PixelNoir\mvp\src\Graphs\bar.ts", "TypeScript", 0, 116, 0, 5, 6, 127
"c:\programming\PixelNoir\mvp\src\Graphs\overworld.ts", "TypeScript", 0, 828, 0, 5, 6, 839
"c:\programming\PixelNoir\mvp\src\Graphs\warehouse.ts", "TypeScript", 0, 98, 0, 5, 6, 109
"c:\programming\PixelNoir\mvp\src\Lib\ClockManager.ts", "TypeScript", 0, 29, 0, 3, 7, 39
"c:\programming\PixelNoir\mvp\src\Lib\GlobalEvents.ts", "TypeScript", 0, 7, 0, 1, 3, 11
"c:\programming\PixelNoir\mvp\src\Lib\InputMapper.ts", "TypeScript", 0, 27, 0, 3, 6, 36
"c:\programming\PixelNoir\mvp\src\Lib\Lighting\FlickerSystem.ts", "TypeScript", 0, 53, 0, 4, 13, 70
"c:\programming\PixelNoir\mvp\src\Lib\Lighting\LightingComponents.ts", "TypeScript", 0, 84, 0, 32, 16, 132
"c:\programming\PixelNoir\mvp\src\Lib\Lighting\LightingSystem.ts", "TypeScript", 0, 418, 0, 14, 89, 521
"c:\programming\PixelNoir\mvp\src\Lib\Lighting\index.ts", "TypeScript", 0, 6, 0, 4, 1, 11
"c:\programming\PixelNoir\mvp\src\Lib\Lighting\lighting-system-spect.ts", "TypeScript", 0, 69, 0, 6, 21, 96
"c:\programming\PixelNoir\mvp\src\Lib\NPCManager.ts", "TypeScript", 0, 245, 0, 48, 52, 345
"c:\programming\PixelNoir\mvp\src\Lib\WorldClock.ts", "TypeScript", 0, 54, 0, 18, 16, 88
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\CutScenes.ts", "TypeScript", 0, 185, 0, 42, 52, 279
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\AnimateAction.ts", "TypeScript", 0, 31, 0, 9, 8, 48
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\CameraAction.ts", "TypeScript", 0, 54, 0, 8, 9, 71
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\DialogAction.ts", "TypeScript", 0, 30, 0, 7, 9, 46
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\FlagAction.ts", "TypeScript", 0, 18, 0, 6, 7, 31
"c:\programming\PixelNoir\mvp\src\Lib\cutscenes\actions\MoveAction.ts", "TypeScript", 0, 30, 0, 11, 8, 49
